Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 10:49:23.741686507 +0000 UTC m=+33480.709760744,1695466163,100,1.9006771311437065,43.41276041666667,2.6556814855114963,16.554716249297133,0.0046
2023-09-23 10:50:23.519907054 +0000 UTC m=+33540.487981299,1695466223,100,1.2533381088107125,43.584635416666664,2.5205158264909433,16.57886680238139,0.004876923076923077
2023-09-23 10:51:23.524826607 +0000 UTC m=+33600.492900848,1695466283,100,1.5098073850167035,43.928385416666664,2.6649374555476446,16.61197013625547,0.0046
2023-09-23 10:52:23.506799554 +0000 UTC m=+33660.474873792,1695466343,100,1.7346588958393017,44.100260416666664,2.5114059687790458,16.58857581261122,0.0046
2023-09-23 10:53:23.676536356 +0000 UTC m=+33720.644610596,1695466403,100,1.9777073539876049,44.31510416666667,2.415034321114118,16.594918382108098,0.00478
2023-09-23 10:54:23.532809427 +0000 UTC m=+33780.500883667,1695466463,100,1.5651600450547791,44.52994791666667,2.526562369291918,16.59467443712745,0.0046
2023-09-23 10:55:23.499250833 +0000 UTC m=+33840.467325071,1695466523,100,1.1337760240438002,44.615885416666664,2.469549202629129,16.60401752988631,0.0046
2023-09-23 10:56:23.503629965 +0000 UTC m=+33900.471704229,1695466583,100,1.1998597691350084,44.701822916666664,2.4848358084053945,16.624338146774377,0.0046
2023-09-23 10:57:23.514820869 +0000 UTC m=+33960.482895107,1695466643,100,1.569960630648051,44.787760416666664,2.4377984418156307,16.5981140613546,0.0046
2023-09-23 10:58:23.572452048 +0000 UTC m=+34020.540526289,1695466703,100,1.3401285781864332,45.088541666666664,2.6482031544219797,16.62685078007506,0.0046
2023-09-23 10:59:23.501766003 +0000 UTC m=+34080.469840241,1695466763,100,1.3327911900290448,45.088541666666664,2.537943722049807,16.60282219948113,0.0046
2023-09-23 11:00:23.569359678 +0000 UTC m=+34140.537433917,1695466823,100,1.347874569800326,45.217447916666664,2.6091319618608777,16.607871860580563,0.004600000000000001
2023-09-23 11:01:23.479686223 +0000 UTC m=+34200.447760461,1695466883,100,1.7357712083333254,45.260416666666664,2.669456066930942,15.68883354048328,0.0046
2023-09-23 11:02:23.558807779 +0000 UTC m=+34260.526882023,1695466943,100,1.131511377532323,45.30338541666667,4.123754500545351,15.917922271810816,0.0046
2023-09-23 11:03:23.520202031 +0000 UTC m=+34320.488276268,1695467003,100,1.17073848844726,45.43229166666667,3.6431164712206088,16.560375772848193,0.0046
2023-09-23 11:04:23.533667869 +0000 UTC m=+34380.501742107,1695467063,100,1.1139880940540436,45.43229166666667,2.7093905968194942,16.573231673328397,0.0046
2023-09-23 11:05:23.489073122 +0000 UTC m=+34440.457147360,1695467123,100,1.0665912322704776,45.51822916666667,2.4917291343806602,16.57591506811554,0.0046
2023-09-23 11:06:23.458426396 +0000 UTC m=+34500.426500633,1695467183,100,0.8559842842799178,45.56119791666667,2.637086647138376,16.600163199192053,0.0046
2023-09-23 11:07:23.492400024 +0000 UTC m=+34560.460474261,1695467243,100,0.6103053931807163,45.514322916666664,2.0321123933730534,15.97834744351759,0.0046
2023-09-23 11:08:23.534215284 +0000 UTC m=+34620.502289521,1695467303,100,0.6099007397083509,45.600260416666664,3.6221263766087475,16.349436548080945,0.0046
