Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-22 17:58:01.12926218 +0000 UTC m=+146442.832447856,1695405481,100,13.351501953080646,8.5235595703125,13.271201450703119,16.96254346794624,0.5
2023-09-22 17:59:01.218293313 +0000 UTC m=+146502.921478989,1695405541,100,11.85887930493424,8.5235595703125,13.115168894739082,16.919267628379096,0.9285714285714286
2023-09-22 18:00:01.432645332 +0000 UTC m=+146563.135831012,1695405601,100,13.102934051338702,8.5235595703125,13.046226454823051,16.945369741308543,0.42499999999999993
2023-09-22 18:02:01.385601582 +0000 UTC m=+146683.088787284,1695405721,100,14.602642065344224,6.5582275390625,3.3875565990163836,15.723473727735445,0.0055000000000000005
2023-09-22 18:03:01.215319732 +0000 UTC m=+146742.918505408,1695405781,100,9.299836552496297,7.061767578125,2.6055630026787013,15.732792425996243,0.008166666666666664
2023-09-22 18:04:01.768439706 +0000 UTC m=+146803.471625457,1695405841,100,9.828534404518207,7.26318359375,2.5633507853368376,15.753332593366892,0.004876923076923077
2023-09-22 18:05:01.080284733 +0000 UTC m=+146862.783470409,1695405901,100,9.226449360972566,7.26318359375,2.4693946000463374,15.746965629371951,0.005750000000000001
2023-09-22 18:06:01.308569269 +0000 UTC m=+146923.011754945,1695405961,100,8.899545054288534,7.26318359375,2.53445603450404,15.75933363989086,0.00875
2023-09-22 18:07:01.359644227 +0000 UTC m=+146983.062829902,1695406021,100,8.600183793267222,7.26318359375,2.463859208046615,15.745306803503537,0.007749999999999997
2023-09-22 18:08:01.319512574 +0000 UTC m=+147043.022698250,1695406081,100,9.087918382989248,7.26318359375,2.4404537653328395,15.747209574352599,0.008333333333333331
2023-09-22 18:09:01.568473441 +0000 UTC m=+147103.271659117,1695406141,100,8.28787073542707,7.26318359375,2.614953349229321,15.756918584582433,0.0075
2023-09-22 18:10:01.216459346 +0000 UTC m=+147162.919645022,1695406201,100,9.465396957038735,7.26318359375,2.291387399457212,15.754064428308839,0.00484
2023-09-22 18:11:01.083145761 +0000 UTC m=+147222.786331436,1695406261,100,9.957044159021402,7.3638916015625,2.5174883759911504,15.771677255911701,0.0085
2023-09-22 18:12:01.2964858 +0000 UTC m=+147282.999671476,1695406321,100,7.410660039167867,7.3638916015625,2.363095487497402,15.769189017109081,0.005
2023-09-22 18:13:01.323072274 +0000 UTC m=+147343.026257957,1695406381,100,8.327425733142443,7.3638916015625,2.6841422051057218,15.73269484800398,0.008375
2023-09-22 18:14:01.727331129 +0000 UTC m=+147403.430516805,1695406441,100,11.36767639547609,7.3638916015625,2.815721109527747,15.753113042884308,0.007000000000000002
2023-09-22 18:15:01.305568638 +0000 UTC m=+147463.008754314,1695406501,100,9.8584148166835,7.3638916015625,2.570866306574926,15.731914224065905,0.00875
2023-09-22 18:16:01.219270128 +0000 UTC m=+147522.922455813,1695406561,100,8.911670412859795,7.3638916015625,2.715728594786737,15.775116880138853,0.0085
2023-09-22 18:17:01.391285288 +0000 UTC m=+147583.094470973,1695406621,100,7.530272977755592,7.3638916015625,2.401206889336893,15.76416375050771,0.007666666666666669
2023-09-22 18:18:01.314656894 +0000 UTC m=+147643.017842580,1695406681,100,8.239501687321454,7.464599609375,2.5635655342884256,15.75769920852051,0.004789473684210527
2023-09-22 18:19:01.482681601 +0000 UTC m=+147703.185867276,1695406741,100,10.792676743203923,7.464599609375,2.6219895288012496,15.777556329945345,0.0046
2023-09-22 18:20:01.282571813 +0000 UTC m=+147762.985757494,1695406801,100,7.913737385590245,7.464599609375,2.4628272251345895,15.79190029480751,0.008250000000000002
2023-09-22 18:21:01.304296696 +0000 UTC m=+147823.007482371,1695406861,100,7.773572037074909,7.666015625,2.6550525566331973,15.792436973764937,0.004900000000000001
2023-09-22 18:22:01.331005375 +0000 UTC m=+147883.034191051,1695406921,100,6.474770729634571,7.666015625,5.482152594275702,16.1578909492753,0.007999999999999998
2023-09-22 18:23:01.118576321 +0000 UTC m=+147942.821761997,1695406981,100,2.2809435328754044,7.666015625,2.692049647773709,16.22687858980286,NaN
